"id","Status_Final","Rank_Valid","Prop_Sens_A_OK","Prop_Sens_B_OK","Prop_Sens_AB_OK","Prop_Sens_C_Reject","Prop_Info_B_OK","Prop_Info_A_Reject","Mean_Sens_A","Mean_Sens_B","Mean_Sens_AB","Mean_Sens_C","Mean_Info_A","Mean_Info_B","Mean_Info_C","Information_Contrast_B_A","Semantic_Contrast_AB_C","Total_Prop_Visual_Error","Prop_Visual_Error_A","Prop_Visual_Error_B","Prop_Visual_Error_C","Mean_Visual_A","Mean_Visual_B","Mean_Visual_C"
7,"Selected_Tier_1",1,0.91304347826087,0.96,0.9375,0.931034482758621,0.96,0.695652173913043,6,6.52,6.27083333333333,1.20689655172414,2.43478260869565,6.56,1.3448275862069,4.12521739130435,5.0639367816092,0.0649350649350649,0.0434782608695652,0,0.137931034482759,6.73913043478261,6.88,6.24137931034483
140,"Selected_Tier_1",2,0.956521739130435,1,0.979166666666667,0.862068965517241,0.96,0.652173913043478,6.30434782608696,6.68,6.5,1.51724137931034,2.78260869565217,6.68,1.55172413793103,3.89739130434783,4.98275862068965,0.051948051948052,0.0434782608695652,0,0.103448275862069,6.73913043478261,6.96,6.31034482758621
121,"Selected_Tier_1",3,0.96,0.96551724137931,0.962962962962963,0.958333333333333,0.896551724137931,0.72,6.12,6.58620689655172,6.37037037037037,1.29166666666667,2.56,6.37931034482759,1.25,3.81931034482759,5.0787037037037,0.0769230769230769,0,0.0344827586206897,0.208333333333333,6.8,6.6551724137931,5.625
18,"Selected_Tier_1",4,1,0.862068965517241,0.925925925925926,0.833333333333333,0.862068965517241,0.72,7,5.86206896551724,6.38888888888889,1.875,2.52,6.27586206896552,1.5,3.75586206896552,4.51388888888889,0.0384615384615385,0,0.0344827586206897,0.0833333333333333,7,6.79310344827586,6.58333333333333
96,"Selected_Tier_1",5,0.96,0.896551724137931,0.925925925925926,0.75,0.896551724137931,0.72,6.32,5.89655172413793,6.09259259259259,2.04166666666667,2.6,6.24137931034483,1.95833333333333,3.64137931034483,4.05092592592593,0.128205128205128,0.04,0.0344827586206897,0.333333333333333,6.64,6.82758620689655,5.375
36,"Selected_Tier_1",6,0.954545454545455,0.869565217391304,0.911111111111111,0.76,0.826086956521739,0.727272727272727,6.5,6.17391304347826,6.33333333333333,2,2.40909090909091,6,1.96,3.59090909090909,4.33333333333333,0.1,0.0454545454545455,0.217391304347826,0.04,6.77272727272727,6.1304347826087,6.8
124,"Selected_Tier_1",7,0.954545454545455,0.909090909090909,0.931818181818182,0.966666666666667,0.863636363636364,0.727272727272727,6.36363636363636,6.18181818181818,6.27272727272727,1.13333333333333,2.54545454545455,6.09090909090909,1.4,3.54545454545455,5.13939393939394,0,0,0,0,6.90909090909091,6.95454545454545,6.8
143,"Selected_Tier_1",8,1,1,1,0.80952380952381,1,0.586206896551724,6.86206896551724,6.66666666666667,6.77358490566038,1.57142857142857,3.3448275862069,6.875,1.28571428571429,3.5301724137931,5.20215633423181,0.121621621621622,0,0,0.428571428571429,6.96551724137931,6.95833333333333,4.80952380952381
145,"Selected_Tier_1",9,0.896551724137931,1,0.943396226415094,0.952380952380952,0.833333333333333,0.724137931034483,6.13793103448276,6.79166666666667,6.43396226415094,1.38095238095238,2.58620689655172,6.08333333333333,1.0952380952381,3.49712643678161,5.05300988319856,0.0810810810810811,0,0,0.285714285714286,6.72413793103448,6.66666666666667,5.33333333333333
10,"Selected_Tier_1",10,0.933333333333333,0.91304347826087,0.924528301886792,0.818181818181818,1,0.633333333333333,6.23333333333333,6.34782608695652,6.28301886792453,1.72727272727273,3.3,6.78260869565217,1.86363636363636,3.48260869565217,4.5557461406518,0.0933333333333333,0.0333333333333333,0.0869565217391304,0.181818181818182,6.8,6.52173913043478,5.81818181818182
