Item,Expected,Surviving,Retention_%
57,28,21,75.0
4,28,22,78.6
69,28,22,78.6
81,28,22,78.6
141,28,22,78.6
118,28,22,78.6
39,28,23,82.1
5,28,23,82.1
74,28,23,82.1
80,28,23,82.1
64,28,23,82.1
124,28,23,82.1
86,28,23,82.1
112,28,23,82.1
12,28,23,82.1
26,28,23,82.1
110,28,23,82.1
137,28,23,82.1
144,28,23,82.1
146,28,23,82.1
148,28,23,82.1
149,28,23,82.1
129,28,24,85.7
127,28,24,85.7
40,28,24,85.7
77,28,24,85.7
107,28,24,85.7
56,28,24,85.7
15,28,24,85.7
3,28,24,85.7
76,28,24,85.7
73,28,24,85.7
116,28,24,85.7
113,28,24,85.7
143,28,24,85.7
83,28,25,89.3
50,28,25,89.3
59,28,25,89.3
51,28,25,89.3
75,28,25,89.3
41,28,25,89.3
49,28,25,89.3
45,28,25,89.3
133,28,25,89.3
122,28,25,89.3
109,28,25,89.3
123,28,25,89.3
54,28,25,89.3
78,28,25,89.3
82,28,25,89.3
31,28,25,89.3
46,28,25,89.3
38,28,25,89.3
30,28,25,89.3
7,28,25,89.3
14,28,25,89.3
20,28,25,89.3
11,28,25,89.3
27,28,25,89.3
28,28,25,89.3
24,28,25,89.3
25,28,25,89.3
23,28,25,89.3
1,28,25,89.3
106,28,25,89.3
119,28,25,89.3
97,28,25,89.3
89,28,25,89.3
103,28,25,89.3
136,28,25,89.3
139,28,25,89.3
150,28,25,89.3
101,28,25,89.3
104,28,25,89.3
95,28,25,89.3
145,28,26,92.9
100,28,26,92.9
142,28,26,92.9
85,28,26,92.9
92,28,26,92.9
13,28,26,92.9
9,28,26,92.9
19,28,26,92.9
21,28,26,92.9
18,28,26,92.9
134,28,26,92.9
42,28,26,92.9
67,28,26,92.9
33,28,26,92.9
35,28,26,92.9
29,28,26,92.9
32,28,26,92.9
37,28,26,92.9
43,28,26,92.9
48,28,26,92.9
66,28,26,92.9
102,28,26,92.9
96,28,26,92.9
128,28,26,92.9
135,28,26,92.9
108,28,26,92.9
126,28,26,92.9
6,28,27,96.4
10,28,27,96.4
84,28,27,96.4
71,28,27,96.4
47,28,27,96.4
36,28,27,96.4
98,28,27,96.4
105,28,27,96.4
120,28,27,96.4
117,28,27,96.4
125,28,27,96.4
121,28,27,96.4
147,28,27,96.4
138,28,27,96.4
140,28,28,100.0
